"idcarrito","idproducto","iduser","cantidad"
"6","3","2","5"
"7","1024","2","4"
"8","2","2","7"
"9","1038","2","1"
"10","1","2","4"
"idcategoria","nombre","img1"
"1","FRENOS","categoria.png"
"2","ACEITES","categoria.png"
"3","GUAYAS","categoria.png"
"4","GENERICO","categoria.png"
"5","bujias","categoria.png"
"30","guantes",NULL
"31","xxx","categoria.png"
"idproducto","precio","descripcion","img1","img2","img3","img4","idcategoria","nombre"
"6","paco","1234","DD","123","ANDETAZZ@GMAIL.COM","123","usuario.png",NULL,NULL
"7","pepe","1234","DD","123","ANDETAZZ@GMAIL.COM","123","usuario.png",NULL,NULL
"8","rosa","1234",NULL,NULL,NULL,NULL,"usuario.png",NULL,NULL
"9","miguel1","1234",NULL,NULL,NULL,NULL,"usuario.png",NULL,NULL
"10","manolo","1234",NULL,NULL,NULL,NULL,"usuario.png",NULL,NULL
"11","prueba","1234",NULL,NULL,NULL,NULL,"prueba.jpg",NULL,NULL
"12","PEDROP","1234","DD","123","ANDETAZZ@GMAIL.COM","123","123.png",NULL,NULL
"13","PEDROPI","1234","123","123","ANDETAZZ@GMAIL.COM","123","usuario.png",NULL,"1"
"iddetalle","idventa","idproducto","nro_docu","fecha","precio","cantidad","iva","descuento","total"
"1","1","1024",NULL,NULL,"6000","4","0","0","24000"
"2","2","3",NULL,NULL,"25000","5","0","0","125000"
"3","2","1024",NULL,NULL,"6000","4","0","0","24000"
"4","2","2",NULL,NULL,"3000","9","0","0","27000"
"5","3","2",NULL,NULL,"3000","9","0","0","27000"
"6","4","3",NULL,NULL,"25000","5","0","0","125000"
"7","5","1024",NULL,NULL,"6000","4","0","0","24000"
"8","5","1038",NULL,NULL,"12000","1","0","0","12000"
"9","6","1024",NULL,NULL,"6000","4","0","0","24000"
"10","6","1",NULL,NULL,"500000","5","0","0","2500000"
"11","7","1038",NULL,NULL,"12000","1","0","0","12000"
"12","7","1",NULL,NULL,"500000","7","0","0","3500000"
"13","8","1",NULL,NULL,"500000","7","0","0","3500000"
"14","9","2",NULL,NULL,"3000","7","0","0","21000"
"15","10","1038",NULL,"2025-03-15","12000","1","0","0","12000"
"16","10","1",NULL,"2025-03-15","500000","7","0","0","3500000"
"17","11","1038",NULL,"2025-03-15","12000","1","0","0","12000"
"18","11","1",NULL,"2025-03-15","500000","7","0","0","3500000"
"19","12","3",NULL,"2025-03-15","25000","5","0","0","125000"
"20","12","1024",NULL,"2025-03-15","6000","4","0","0","24000"
"21","13","3",NULL,"2025-03-28","25000","5","0","0","125000"
"22","13","1024",NULL,"2025-03-28","6000","4","0","0","24000"
"23","14","1024",NULL,"2025-03-28","6000","4","0","0","24000"
"24","15","3",NULL,"2025-03-28","25000","5","0","0","125000"
"25","15","1024",NULL,"2025-03-28","6000","4","0","0","24000"
"26","16","3",NULL,"2025-03-28","25000","5","0","0","125000"
"27","17","3",NULL,"2025-03-28","25000","5","0","0","125000"
"28","17","1024",NULL,"2025-03-28","6000","4","0","0","24000"
"29","18","3",NULL,"2025-03-28","25000","5","0","0","125000"
"30","18","1024",NULL,"2025-03-28","6000","4","0","0","24000"
"31","19","3",NULL,"2025-03-28","25000","5","0","0","125000"
"32","19","1024",NULL,"2025-03-28","6000","4","0","0","24000"
"33","20","3",NULL,"2025-03-28","25000","7","0","0","175000"
"34","20","1024",NULL,"2025-03-28","6000","1","0","0","6000"
"35","21","1",NULL,"2025-03-28","500000","1","0","0","500000"
"36","22","3",NULL,"2025-03-28","25000","1","0","0","25000"
"37","22","1024",NULL,"2025-03-28","6000","2","0","0","12000"
"38","23","3",NULL,"2025-03-28","25000","3","0","0","75000"
"39","23","1024",NULL,"2025-03-28","6000","7","0","0","42000"
"40","24","3",NULL,"2025-04-07","25000","5","0","0","125000"
"41","24","1024",NULL,"2025-04-07","6000","4","0","0","24000"
"idventa","iduser","nro_docu","fecha","f_vto","subtotal","iva","descuento","total","observacion"
"1","2",NULL,NULL,NULL,"0","0","0","24000",NULL
"2","2",NULL,NULL,NULL,"0","0","0","176000",NULL
"3","2",NULL,NULL,NULL,"0","0","0","27000",NULL
"4","2",NULL,NULL,NULL,"0","0","0","125000",NULL
"5","2",NULL,NULL,NULL,"0","0","0","36000",NULL
"6","2",NULL,NULL,NULL,"0","0","0","2524000",NULL
"7","2",NULL,NULL,NULL,"3512000","667280","0","4179280",NULL
"8","2",NULL,"2025-03-15",NULL,"3500000","665000","0","4165000",NULL
"9","2",NULL,"2025-03-15","2025-04-14","21000","3990","0","24990","dfdhdfghfg"
"10","2",NULL,"2025-03-15","2025-04-14","3512000","667280","0","4179280","sgdgfg"
"11","2",NULL,"2025-03-15","2025-04-14","3512000","667280","0","4179280",
"12","2",NULL,"2025-03-15","2025-04-14","149000","28310","0","177310",
"13","2",NULL,"2025-03-28","2025-04-27","80000","15200","0","95200",
"14","2",NULL,"2025-03-28","2025-04-27","258000","49020","0","307020",
"15","2",NULL,"2025-03-28","2025-04-27","167000","31730","0","198730",
"16","2",NULL,"2025-03-28","2025-04-27","125000","23750","0","148750",
"17","2",NULL,"2025-03-28","2025-04-27","224000","42560","0","266560",
"18","2",NULL,"2025-03-28","2025-04-27","274000","52060","0","326060",
"19","2",NULL,"2025-03-28","2025-04-27","174000","33060","0","207060",
"20","2",NULL,"2025-03-28","2025-04-27","181000","34390","0","215390",
"21","2",NULL,"2025-03-28","2025-04-27","500000","95000","0","595000",
"22","2",NULL,"2025-03-28","2025-04-27","37000","7030","0","44030",
"23","2",NULL,"2025-03-28","2025-04-27","117000","22230","0","139230",
"24","2",NULL,"2025-04-07","2025-05-07","149000","28310","0","177310",
